id,auto_number,auto_brand,compensated,too_much
614,7840C8197RUS,Ford Focus,3500,1
615,T6249O50RUS,Ford Focus,8500,1
616,E53677152RUS,Ford Focus,11000,1
617,E42377152RUS,Ford Focus,3000,1
618,X256HE161RUS,Ford Focus,1600,1
619,9941KK197RUS,Ford Focus,800,0
620,E28877161RUS,Ford Focus,500,0
621,M0299X197RUS,Ford Focus,19200,1
622,M372CH197RUS,Ford Focus,21600,0
623,K040CC197RUS,Ford Focus,3600,1
624,E41577152RUS,Ford Focus,3000,1
625,9763HY161RUS,Ford Focus,900,0
626,T535ET96RUS,Ford Focus,3000,1
627,92918M178RUS,Ford Focus,7600,1
628,Y655E8750RUS,Skoda Octavia,2600,0
629,K2797K154RUS,Ford Focus,2400,0
630,K559KC161RUS,Ford Focus,200,0
631,7369C8197RUS,Ford Focus,10100,1
632,T6359O50RUS,Ford Focus,13500,1
633,8321XX154RUS,Ford Focus,200,0
634,O134HE197RUS,Ford Focus,11400,1
635,H961HY161RUS,Ford Focus,2500,1
636,M2169X197RUS,Ford Focus,3100,1
637,707987163RUS,Ford Focus,1100,0
638,8234XX154RUS,Ford Focus,1300,0
639,9938KK197RUS,Ford Focus,28500,0
640,X759HY197RUS,Ford Focus,37500,0
641,M375CH197RUS,Ford Focus,18100,0
642,C803KE163RUS,Volkswagen Jetta,1000,0
643,O83697197RUS,Ford Focus,6100,1
644,92918M178RUS,Ford Focus,1900,0
645,92928M178RUS,Ford Focus,1200,0
646,E52677152RUS,Ford Focus,2500,1
647,8451M7154RUS,Ford Focus,500,0
648,9589EY178RUS,Ford Focus,500,0
649,H907YK197RUS,Ford Focus,7100,1
650,O39897197RUS,Ford Focus,3800,1
651,H618YC38RUS,Volkswagen Golf,300,0
652,C299K9154RUS,Ford Focus,500,0
653,M0299X197RUS,Ford Focus,9600,0
654,8437XX154RUS,Ford Focus,800,1
655,9468EX178RUS,Ford Focus,4000,0
656,M375CH197RUS,Ford Focus,18100,1
657,H982HY161RUS,Ford Focus,300,0
658,8201XX154RUS,Ford Focus,7800,0
659,8224XX154RUS,Ford Focus,2500,0
660,O22397197RUS,Ford Focus,18500,0
661,Y653E8750RUS,Skoda Octavia,500,0
662,708487163RUS,Ford Focus,1000,0
663,K558KC161RUS,Ford Focus,500,0
664,O058M7161RUS,Ford Focus,1900,0
665,9468EX178RUS,Ford Focus,2000,0
666,M256OH161RUS,Ford Focus,1600,1
667,7183TT36RUS,Ford Focus,5400,1
668,T242H8197RUS,Skoda Octavia,23400,1
669,K27188138RUS,Ford Focus,2000,0
670,X782CO96RUS,Ford Focus,1000,0
671,Y7659C197RUS,Ford Focus,1500,0
672,X523OM161RUS,Ford Focus,400,0
673,T686EO197RUS,Toyota Camry,1000,1
674,96629X178RUS,Ford Focus,7000,0
675,9881HX152RUS,Ford Focus,10300,1
676,9020YC197RUS,Skoda Octavia,72500,1
677,T479KX197RUS,Ford Focus,12000,1
678,M680T9152RUS,Volkswagen Jetta,9000,1
679,7831C8197RUS,Ford Focus,6800,1
680,7364C8197RUS,Ford Focus,4500,1
681,7844C8197RUS,Ford Focus,17000,1
682,9068EM178RUS,Ford Focus,600,0
683,T011MY163RUS,Ford Focus,4000,1
684,C410X938RUS,Ford Focus,1100,0
685,X762HY197RUS,Ford Focus,500,0
686,9470EX178RUS,Ford Focus,500,0
687,X4128H125RUS,Ford Focus,1500,1
688,M373CH197RUS,Ford Focus,6600,1
689,9762HY161RUS,Ford Focus,2600,1
690,8610T8154RUS,Ford Focus,2000,0
691,H419XE197RUS,Toyota Corolla,6900,1
692,98017H178RUS,Ford Focus,1500,0
693,Y780EE197RUS,Volkswagen Golf,4600,1
694,T686EO197RUS,Toyota Camry,1000,0
695,9943OH154RUS,Skoda Octavia,400,0
696,Y354O8197RUS,Ford Focus,10800,0
697,7065C8197RUS,Volkswagen Passat,3800,0
698,9938KK197RUS,Ford Focus,28500,0
699,E28777161RUS,Ford Focus,800,0
700,M701T9152RUS,Ford Focus,3000,1
701,E577HE77RUS,Ford Focus,12000,1
702,Y194O8161RUS,Ford Focus,900,1
703,92788M178RUS,Ford Focus,1200,0
704,9072EM178RUS,Ford Focus,4400,1
705,9409H7178RUS,Skoda Octavia,3000,0
706,C3829X154RUS,Ford Focus,13500,1
707,T478KX197RUS,Ford Focus,7500,1
708,T119CT96RUS,Ford Focus,2000,0
709,X795O796RUS,Ford Focus,1000,0
710,708487163RUS,Ford Focus,1000,0
711,H983HY161RUS,Ford Focus,500,0
712,7842C8197RUS,Ford Focus,6000,0
713,O64097197RUS,Ford Focus,71200,1
714,Y693HM197RUS,BMW,6500,1
715,96857X197RUS,Skoda Octavia,37800,0
716,7177TT36RUS,Ford Focus,500,0
717,H908YK197RUS,Ford Focus,4800,0
718,9428EX178RUS,Ford Focus,500,0
719,84438C154RUS,Ford Focus,7600,1
720,Y7689C197RUS,Ford Focus,9000,1
721,H427YH197RUS,Volkswagen Passat,9900,0
722,T394KX197RUS,Ford Focus,1500,1
723,O49897197RUS,Ford Focus,11800,1
724,H963X936RUS,Skoda Octavia,1800,0
725,T341CC96RUS,Volkswagen Passat,1000,1
726,9942KK197RUS,Ford Focus,6200,1
727,9141H8178RUS,Skoda Octavia,300,0
728,9942KK197RUS,Ford Focus,3100,1
729,7370C8197RUS,Ford Focus,5000,1
730,9890HX152RUS,Ford Focus,9200,1
731,9409H7178RUS,Skoda Octavia,6000,0
732,M268CH197RUS,Toyota Camry,800,0
733,Y780EE197RUS,Volkswagen Golf,2300,0
734,Y388E877RUS,Ford Focus,9500,1
735,C419X938RUS,Ford Focus,1100,0
736,M0319X197RUS,Ford Focus,4500,1
737,M577CH197RUS,Ford Focus,17000,1
738,7361C8197RUS,Ford Focus,800,0
739,H975HY161RUS,Ford Focus,2000,0
740,X018HY197RUS,Toyota Camry,10600,1
741,E33177152RUS,Ford Focus,7100,1
742,X256HE161RUS,Ford Focus,1600,1
743,Y7689C197RUS,Ford Focus,45000,1
744,Y969O8197RUS,Ford Focus,7800,1
745,7788KT197RUS,Ford Focus,4000,1
746,9491H7178RUS,Volkswagen Jetta,500,0
747,M374CH197RUS,Ford Focus,5500,0
748,96679X178RUS,Ford Focus,2400,1
749,9594HY161RUS,Ford Focus,300,0
750,C593EY154RUS,Ford Focus,1000,0
751,Y164O8161RUS,Ford Focus,800,0
752,M942OT152RUS,Ford Focus,2000,0
753,T195OK161RUS,Ford Mondeo,6700,1
754,T476KX197RUS,Ford Focus,4500,1
755,H889YK197RUS,Ford Focus,21200,1
756,Y7429Y50RUS,Ford Focus,2000,1
757,H976HY161RUS,Ford Focus,2200,1
758,C410X938RUS,Ford Focus,2200,1
759,Y195O8161RUS,Ford Focus,100,0
760,O669E8197RUS,Ford Focus,18000,0
761,Y187O8161RUS,Ford Focus,400,1
762,K329T8197RUS,Skoda Octavia,13000,1
763,96659X178RUS,Ford Focus,900,0
764,7842C8197RUS,Ford Focus,12000,1
765,O275O7161RUS,Ford Focus,8300,0
766,7784KT197RUS,Ford Focus,6600,1
767,9677MO178RUS,Ford Mondeo,2200,0
768,H957HY161RUS,Ford Focus,2000,0
769,M0279X197RUS,Ford Focus,36000,1
770,7784KT197RUS,Ford Focus,6600,1
771,9939KK197RUS,Ford Focus,1600,0
772,Y8399C197RUS,Ford Focus,600,0
773,M373CH197RUS,Ford Focus,6600,1
774,7164YM36RUS,Ford Focus,18800,1
775,7843C8197RUS,Ford Focus,4100,1
776,O753MX161RUS,Ford Focus,700,1
777,9468EX178RUS,Ford Focus,2000,1
778,T395KX197RUS,Ford Focus,7600,1
779,T6488M116RUS,Ford Focus,21000,1
780,7361C8197RUS,Ford Focus,800,0
781,98047H178RUS,Ford Focus,500,0
782,8316XX154RUS,Ford Focus,1100,0
783,O752MX161RUS,Ford Focus,2600,1
784,8234XX154RUS,Ford Focus,2600,1
785,9488EY178RUS,Ford Focus,1300,1
786,K326T8197RUS,Volkswagen Passat,100,0
787,90159H178RUS,Volkswagen Passat,300,0
788,9469EX178RUS,Ford Focus,4200,0
789,X796TH96RUS,Ford Focus,500,0
790,9499KX178RUS,Ford Focus,4600,0
791,Y358O8197RUS,Ford Focus,21800,1
792,C420X938RUS,Ford Focus,3300,1
793,Y965O8197RUS,Ford Focus,1600,1
794,96429X178RUS,Ford Focus,1300,1
795,Y358O8197RUS,Ford Focus,43600,0
796,E223YM197RUS,Ford Focus,19500,1
797,E42277152RUS,Ford Focus,5300,1
798,E34877152RUS,Ford Focus,36600,1
799,Y964EE197RUS,Ford Focus,6000,1
800,T6049O50RUS,Ford Focus,15000,1
801,8601XX154RUS,Skoda Octavia,3900,0
802,H259HY161RUS,Toyota Corolla,900,0
803,T940CC96RUS,Ford Focus,500,0
804,T288CT96RUS,Ford Focus,1500,0
805,Y6839Y50RUS,Ford Focus,1500,0
806,Y344E877RUS,Ford Focus,1000,0
807,K889HY161RUS,Ford Mondeo,46200,1
808,H214X836RUS,Ford Focus,8000,0
809,T399KX197RUS,Ford Focus,15300,1
810,O421OT161RUS,Skoda Octavia,1200,0
811,H232YH197RUS,Ford Focus,4300,0
812,7360C8197RUS,Ford Focus,9600,1
813,T6418M116RUS,Ford Focus,49200,0
814,7248C8197RUS,Ford Mondeo,34400,1
815,Y194O8161RUS,Ford Focus,900,1
816,9881HX152RUS,Ford Focus,20600,1
817,T6359O50RUS,Ford Focus,13500,1
